Nama perusahaan,Alamat,Modul
Syamsul mu arif,Ds.sumbermulyo Tlogowungu Pati,Sistem Digital Bahasa Pemprograman Algoritma dan pemprograman Pengantar Tekhnologi Informasi Graph dan Otomata Pemprograman Terstruktur Arsitektur komputer Struktur Data Sistem Basis Data Rekayasa Perangkat Lunak Sistem Operasi Kecerdasan Buatan Pemprograman Berorientasi Objek Jaringan Komputer Pemprograman Web Desain Manajemen Jaringan Pemprograman Apikasi Mobile Pemprograman Web Mobile Pengolahan Citra Digital Jejaring Sosial Text Minning Machine Learning Basis Data Terdistribusi Web Service Grafika Komputer 
PT Nurul fikri cipta inovasi,jl.situ indah No 116 RT.006 RW.010 Kel tugu kec.cimanggis kota depok jawa barat,Desan web git/github javascript laravel database MYSQL PHP RESTAPI UI/UX Soft skill final project
PT Orbit Ventura Indonesia,Veteran RI Building 15th Floor Unit Z15-002 Plaza Semanggi Jl.Jend.Sudirman Kav. 50 Jakarta Indonesia - 12930,Project AI Metode Penelitian AI Pemrograman Python Logika Konsep AI Etika Profesi Proyek Akhir
PT. Impactbyte Teknologi Edukasi Jl. Simprug Golf 8 No.6 RT.2/RW.8 Grogol Sel. Kec. Kby. Lama Kota Jakarta Selatan Daerah Khusus Ibukota Jakarta 12220,User Interface Designing dan Prototyping Research dan Usability Testing UI/UX Design Thingking Career Development
PT Mitra Integrasi Informatika,APL Tower Lantai 37 Jl. Letjen S. Parman Kav. 28 RT.12/RW.6 Tj. Duren Sel. Jakarta Barat Kota Jakarta Barat Daerah Khusus Ibukota Jakarta 11470,Introduction Programming Front-End Programming Back-End Programming Secure Programming Power Platform Fundamental
PT MariBelajar Indonesia Cerdas,Jln Tunggul Ametung IVa no 8 Desa Ubung Kaja Kecamatan Denpasar utara Kota Denpasar,Microsoft 365 Fundamentals Microsoft Azure Fundamentals Capstone Projetct Design Thingking Masterclass Modern Project Management Microsoft Azure Administrator
PT Abbauf Mulia Konsultan Teknologi,APL Tower Central Park Lantai 19 Unit T7 Jl. Letjen S. Parman No.Kavling 28 RT.12/RW.6 Tj. Duren Sel. Kec. Grogol petamburan Kota Jakarta Barat Daerah Khusus Ibukota Jakarta 11470,Quality Control Database API Deployment
PT Telkom Indonesia (Persero) Tbk,Jl Japati 1 Bandung,Software Development Component Integration Archicture Design Data Management Application Design
PT Semesta Integrasi Digital,Jl. Jeruk Purut Dalam No.33 RT.6/RW.3 Cilandak Tim. Kec. Ps. Minggu Kota Jakarta Selatan Daerah Khusus Ibukota Jakarta 12560,Software Engineering Software Testing Riset dan Analaisis Koordinasi Pengembangan Perangkat
PT Mitra Integrasi Informatika,APL Tower Lantai 37 Jl. Letjen S. Parman Kav. 28 RT.12/RW.6 Tj. Duren Sel. Jakarta Barat Kota Jakarta Barat Daerah Khusus Ibukota Jakarta 11470,Documentation Skills Coding Analytic Skills Communication Skills Presentation Skills
PT. IlmuKomputerCom Braindevs Sistema,Menara Bidakara 1 Lantai 2 Jl. Gatot Subroto Kav. 71-73 Pancoran Jakarta Selatan 12870,Software Engineering Time Management Communication Skills Team Work System Analysis dan Design
